Employee #,Month,Date,Time-in,Time-out,Number of Hours Attended,Hourly Rate,Rice Subsidy,Phone Allowance,Clothing Allowance
10001,September,9/1/2022,8:00,17:00,9,373.04,1500,1000,1000
10002,September,9/1/2022,8:00,17:00,9,255.8,1500,800,800
10003,September,9/1/2022,8:00,17:00,9,255.8,1500,800,800
10004,September,9/1/2022,8:00,17:00,9,362.05,1500,1000,1000
10005,September,9/1/2022,8:00,17:00,9,133.93,1500,500,500
10006,September,9/1/2022,8:00,17:00,9,133.93,1500,500,500
10007,September,9/1/2022,8:27,17:00,8.55,142.86,1500,500,500
10008,September,9/1/2022,8:01,17:00,8.98,142.86,1500,500,500
10009,September,9/1/2022,8:05,17:00,8.92,133.93,1500,500,500
10010,September,9/1/2022,8:00,17:00,9,133.93,1500,500,500
10011,September,9/1/2022,8:00,17:00,9,229.02,1500,800,800
10012,September,9/1/2022,8:00,17:00,9,249.11,1500,800,800
10013,September,9/1/2022,8:00,17:00,9,377.98,1500,1000,1000
10014,September,9/1/2022,8:00,17:00,9,138.39,1500,500,500
10015,September,9/1/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/1/2022,8:28,17:00,8.53,142.86,0,0,0
10017,September,9/1/2022,8:00,17:00,9,133.93,0,0,0
10018,September,9/1/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/1/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/1/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/1/2022,8:11,17:00,8.82,147.32,0,0,0
10022,September,9/1/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/1/2022,8:00,17:00,9,133.93,0,0,0
10024,September,9/1/2022,8:21,17:00,8.65,133.93,0,0,0
10025,September,9/1/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/2/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/2/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/2/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/2/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/2/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/2/2022,8:00,17:00,9,142.86,0,0,0
10009,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10010,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/2/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/2/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/2/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/2/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/2/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/2/2022,8:00,17:00,9,142.86,0,0,0
10017,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10018,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/2/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/2/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/2/2022,8:00,17:00,9,147.32,0,0,0
10022,September,9/2/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10024,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10025,September,9/2/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/5/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/5/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/5/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/5/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/5/2022,8:15,17:00,8.75,133.93,0,0,0
10006,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/5/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/5/2022,8:00,17:00,9,142.86,0,0,0
10009,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10010,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/5/2022,10:30,17:00,6.5,229.02,0,0,0
10012,September,9/5/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/5/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/5/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/5/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/5/2022,8:00,17:00,9,142.86,0,0,0
10017,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10018,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/5/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/5/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/5/2022,13:00,17:00,4,147.32,0,0,0
10022,September,9/5/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10024,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10025,September,9/5/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/6/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/6/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/6/2022,11:30,17:00,5.5,255.8,0,0,0
10004,September,9/6/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/6/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/6/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/6/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/6/2022,8:10,17:00,8.83,142.86,0,0,0
10009,September,9/6/2022,0:00,0:00,0,133.93,0,0,0
10010,September,9/6/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/6/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/6/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/6/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/6/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/6/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/6/2022,8:00,17:00,9,142.86,0,0,0
10017,September,9/6/2022,8:05,17:00,8.92,133.93,0,0,0
10018,September,9/6/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/6/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/6/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/6/2022,8:00,17:00,9,147.32,0,0,0
10022,September,9/6/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/6/2022,9:00,17:00,8,133.93,0,0,0
10024,September,9/6/2022,8:00,17:00,9,133.93,0,0,0
10025,September,9/6/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/7/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/7/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/7/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/7/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/7/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/7/2022,8:00,17:00,9,142.86,0,0,0
10009,September,9/7/2022,0:00,0:00,0,133.93,0,0,0
10010,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/7/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/7/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/7/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/7/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/7/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/7/2022,8:00,17:00,9,142.86,0,0,0
10017,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10018,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/7/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/7/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/7/2022,8:00,17:00,9,147.32,0,0,0
10022,September,9/7/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10024,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10025,September,9/7/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/8/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/8/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/8/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/8/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/8/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/8/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/8/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/8/2022,8:00,17:00,9,142.86,0,0,0
10009,September,9/8/2022,0:00,0:00,0,133.93,0,0,0
10010,September,9/8/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/8/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/8/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/8/2022,10:00,17:00,7,377.98,0,0,0
10014,September,9/8/2022,10:00,17:00,7,138.39,0,0,0
10015,September,9/8/2022,10:00,17:00,7,138.39,0,0,0
10016,September,9/8/2022,10:00,17:00,7,142.86,0,0,0
10017,September,9/8/2022,10:00,17:00,7,133.93,0,0,0
10018,September,9/8/2022,10:00,17:00,7,133.93,0,0,0
10019,September,9/8/2022,10:00,17:00,7,142.86,0,0,0
10020,September,9/8/2022,10:00,17:00,7,147.32,0,0,0
10021,September,9/8/2022,10:00,17:00,7,147.32,0,0,0
10022,September,9/8/2022,10:00,17:00,7,142.86,0,0,0
10023,September,9/8/2022,10:00,17:00,7,133.93,0,0,0
10024,September,9/8/2022,10:00,17:00,7,133.93,0,0,0
10025,September,9/8/2022,10:00,17:00,7,133.93,0,0,0
10001,September,9/9/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/9/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/9/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/9/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/9/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/9/2022,8:00,17:00,9,142.86,0,0,0
10009,September,9/9/2022,0:00,0:00,0,133.93,0,0,0
10010,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/9/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/9/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/9/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/9/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/9/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/9/2022,8:00,17:00,9,142.86,0,0,0
10017,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10018,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/9/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/9/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/9/2022,8:00,17:00,9,147.32,0,0,0
10022,September,9/9/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10024,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10025,September,9/9/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/12/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/12/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/12/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/12/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/12/2022,8:27,17:00,8.55,142.86,0,0,0
10008,September,9/12/2022,8:01,17:00,8.98,142.86,0,0,0
10009,September,9/12/2022,0:00,0:00,0,133.93,0,0,0
10010,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/12/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/12/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/12/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/12/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/12/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/12/2022,8:28,17:00,8.53,142.86,0,0,0
10017,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10018,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10019,September,9/12/2022,8:00,17:00,9,142.86,0,0,0
10020,September,9/12/2022,8:00,17:00,9,147.32,0,0,0
10021,September,9/12/2022,8:11,17:00,8.82,147.32,0,0,0
10022,September,9/12/2022,8:00,17:00,9,142.86,0,0,0
10023,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10024,September,9/12/2022,8:21,17:00,8.65,133.93,0,0,0
10025,September,9/12/2022,8:00,17:00,9,133.93,0,0,0
10001,September,9/13/2022,8:00,17:00,9,373.04,0,0,0
10002,September,9/13/2022,8:00,17:00,9,255.8,0,0,0
10003,September,9/13/2022,8:00,17:00,9,255.8,0,0,0
10004,September,9/13/2022,8:00,17:00,9,362.05,0,0,0
10005,September,9/13/2022,8:00,17:00,9,133.93,0,0,0
10006,September,9/13/2022,8:00,17:00,9,133.93,0,0,0
10007,September,9/13/2022,8:00,17:00,9,142.86,0,0,0
10008,September,9/13/2022,8:00,17:00,9,142.86,0,0,0
10009,September,9/13/2022,8:00,17:00,9,133.93,0,0,0
10010,September,9/13/2022,8:00,17:00,9,133.93,0,0,0
10011,September,9/13/2022,8:00,17:00,9,229.02,0,0,0
10012,September,9/13/2022,8:00,17:00,9,249.11,0,0,0
10013,September,9/13/2022,8:00,17:00,9,377.98,0,0,0
10014,September,9/13/2022,8:00,17:00,9,138.39,0,0,0
10015,September,9/13/2022,8:00,17:00,9,138.39,0,0,0
10016,September,9/13/2022,8:00,17:00,9,142.86,0,0,0
10017,September,9/13/2022,0:00,0:00,0,133.93,0,0,0
10018,September,9/13/2022,8:00,17:00,9,133.93,0,0,0
